Εμφωλευμένες δομές;Συνδυασμός δομών επιλογής ή επανάληψης όπου η μία βρίσκεται μέσα στην άλλη
Κανόνας εμφωλευμένων βρόχων;Ο βρόχος που ξεκινά τελευταίος πρέπει να ολοκληρώνεται πρώτος
Κανόνας εμφωλευένων βρόχων;Η είσοδος πρέπει να γίνεται υποχρεωτικά από την αρχή του
Πολλαπλασιασμός αλά ρωσικά;Αλγόριθμος που χρησιμοποιεί μόνο διπλασιασμό, υποδιπλασιασμό και πρόσθεση
Ολίσθηση;Τεχνική που χρησιμοποιεί ο επεξεργαστής για γρήγορο πολλαπλασιασμό/διαίρεση με το 2
Προσπέλαση;Λειτουργία πρόσβασης σε έναν κόμβο για εξέταση ή τροποποίηση του περιεμένου του
Εισαγωγή;Λειτουργία προσθήκης νέων κόμβων σε μια υπάρχουσα δομή δεδομένων
Διαγραφή;Λειτουργία αφαίρεσης ενός κόμβου από μια δομή δεδομένων
Αναζήτηση;Εντοπισμός κόμβων που έχουν μια συγκεκριμένη ιδιότητα
Αντιγραφή;Λειτουργία κατά την οποία τα στοιχεία μιας δομής μεταφέρονται σε μια άλλη
Συγχώνευση;Συνένωση δύο ή περισσότερων δομών σε μία ενιαία
Διαχωρισμός;Η πράξη της διάσπασης μιας ενιαίας δομής σε δύο ή περισσότερες
Προγράμματα (τύπος);Το αποτέλεσμα του συνδυασμού Αλγορίθμων και Δομών Δεδομένων
Στατική;Δομή της οποίας το μέγεθος καθορίζεται κατά τον προγραμματισμό και τη μετάφραση
Δυναμική;Δομή της οποίας ο αριθμός κόμβων αυξομειώνεται κατά την εκτέλεση
Δυναμική παραχώρηση μνήμης;Τεχνική αποθήκευσης δυναμικών δομών σε μη συνεχόμενες θέσεις μνήμης
Δείκτης πίνακα;Η ακέραια τιμή σε αγκύλη που προσδιορίζει τη θέση ενός στοιχείου στον πίνακα
Κλειδί αναζήτησης;Η δοθείσα τιμή που αναζητάμε μέσα σε μια δομή δεδομένων
Εγγραφή αρχείου;Τα στοιχεία που απαρτίζουν ένα αρχείο στη δευτερεύουσα μνήμη
Πεδίο;Τα επιμέρους τμήματα που αποτελούν μια εγγραφή
Πρωτεύον κλειδί;Το πεδίο που ταυτοποιεί μοναδικά μια εγγραφή
Κύρια μνήμη;Χώρος αποθήκευσης όπου τα δεδομένα χάνονται με τη διακοπή ρεύματος ή το τέλος του προγράμματος
Δευτερεύουσα μνήμη;Χώρος αποθήκευσης μεγάλου όγκου δεδομένων που διατηρούνται μόνιμα
Υπολογισμός αθροίσματος;Τυπική επεξεργασία πίνακα για την εύρεση του συνόλου των τιμών του
LIFO;Η αρχή "Τελευταίο Μέσα, Πρώτο Έξω" που διέπει τη λειτουργία της στοίβας
Ώθηση (Push);Η λειτουργία εισαγωγής στοιχείου στην κορυφή της στοίβας
Απώθηση (Pop);Η λειτουργία αφαίρεσης στοιχείου από την κορυφή της στοίβας
Υπερχείλιση στοίβας;Το σφάλμα που συμβαίνει όταν ωθούμε στοιχείο σε γεμάτη στοίβα
Υποχείλιση στοίβας;Το σφάλμα που συμβαίνει όταν απωθούμε στοιχείο από κενή στοίβα
Μεταβλητή Top;Ο δείκτης που δείχνει το τελευταίο στοιχείο που εισήχθη στη στοίβα
FIFO;Η αρχή "Πρώτο Μέσα, Πρώτο Έξω" που διέπει τη λειτουργία της ουράς
Εμπρός (Front);Μεταβλητή που δείχνει τη θέση του πρώτου στοιχείου μιας ουράς
Πίσω (Rear);Μεταβλητή που δείχνει τη θέση του τελευταίου στοιχείου μιας ουράς
Enqueue;Η λειτουργία εισαγωγής στοιχείου στο πίσω άκρο της ουράς
Dequeue;Η λειτουργία εξαγωγής στοιχείου από το εμπρός άκρο της ουράς
Συνδεδεμένη λίστα;Σύνολο κόμβων διατεταγμένων γραμμικά όπου κάθε κόμβος δείχνει στον επόμενο
NULL;Η τιμή του δείκτη στον τελευταίο κόμβο μιας συνδεδεμένης λίστας
Κεφαλή (Head);Ειδική μεταβλητή που αποθηκεύει τη διεύθυνση του πρώτου κόμβου μιας λίστας
Τυχαία προσπέλαση;Το χαρακτηριστικό των πινάκων που επιτρέπει την άμεση πρόσβαση σε οποιοδήποτε στοιχείο
Διπλά συνδεδεμένη λίστα;Δομή που επιτρέπει τη διάσχιση και προς τις δύο κατευθύνσεις μέσω δύο δεικτών
Συνθήκη Όσο;Έλεγχος συνθήκης στην αρχή του βρόχου με πιθανότητα μηδενικής εκτέλεσης
Συνθήκη Μέχρις_Ότου;Έλεγχος συνθήκης στο τέλος του βρόχου με τουλάχιστον μία εκτέλεση
Βρόχος ΓΙΑ;Δομή επανάληψης που χρησιμοποιείται κυρίως όταν ο αριθμός των επαναλήψεων είναι προκαθορισμένος
Σειριακή αναζήτηση (χρήση);Επιλέγεται για μη ταξινομημένους ή μικρούς πίνακες
Τελεστέοι έκφρασης;Οι σταθερές και οι μεταβλητές 
Στάδια αντιμετώπισης προβλήματος;Κατανόηση, Ανάλυση, Επίλυση
Επεξεργασία δεδομένων;Διαδικασία όπου ένας μηχανισμός δέχεται δεδομένα και αποδίδει πληροφορίες
Επίλυση προβλήματος;Η διαδικασία μέσω της οποίας φτάνουμε στο ζητούμενο αποτέλεσμα
Διαίρει και βασίλευε;Μεθοδολογία ανάλυσης ενός προβλήματος σε απλούστερα υποπροβλήματα
Επίπεδα ανάλυσης;Η ιεραρχική οργάνωση των υποπροβλημάτων από το γενικό στο ειδικό
Προσδιορισμός δεδομένων;Η καταγραφή όλων των στοιχείων εισόδου που είναι απαραίτητα για τη λύση
Καταγραφή ζητουμένων;Ο σαφής προσδιορισμός των αποτελεσμάτων που πρέπει να παραχθούν
Στρατηγική επίλυσης;Το πλάνο ενεργειών για την αντιμετώπιση του προβλήματος
Ερμηνεία προβλήματος;Η κατανόηση του περιεχομένου από αυτόν που καλείται να το λύσει
Διατύπωση προβλήματος;Ο τρόπος παρουσίασης ενός προβλήματος από τον δημιουργό του
Υπολογιστικά προβλήματα;Προβλήματα που μπορούν να επιλυθούν με τη χρήση υπολογιστή
Λειτουργική μονάδα υποπρογράμματος;Ανεξάρτητο τμήμα κώδικα που εκτελεί μια συγκεκριμένη λειτουργία
Σύνδεση προβλήματος;Ο τρόπος που τα συστατικά μέρη επικοινωνούν μεταξύ τους
Σταθερές (ΓΛΩΣΣΑ);Προκαθορισμένες τιμές που παραμένουν αμετάβλητες όπως Π=3.14
Ονόματα (ΓΛΩΣΣΑ);Αλφαριθμητικοί χαρακτήρες που προσδιορίζουν αντικείμενα του προγράμματος
Τύπος Ακέραιες;Περιλαμβάνει τους θετικούς, αρνητικούς και το μηδέν χωρίς δεκαδικά
Τύπος Πραγματικές;Περιλαμβάνει αριθμούς με δεκαδικό μέρος ή σε μορφή εκθέτη
Τύπος Χαρακτήρες;Περιλαμβάνει οποιοδήποτε σύμβολο εντός εισαγωγικών
Τύπος Λογικές;Περιλαμβάνει τις δύο τιμές αληθείας
Δήλωση μεταβλητών;Η ενότητα όπου ορίζονται τα ονόματα και οι τύποι των δεδομένων
Δήλωση σταθερών;Η ενότητα όπου ορίζονται οι τιμές που δεν αλλάζουν
Ενότητα ΜΕΤΑΒΛΗΤΕΣ;Το τμήμα του προγράμματος που ακολουθεί το όνομα και τις σταθερές
Ενότητα ΣΤΑΘΕΡΕΣ;Το τμήμα του προγράμματος όπου ορίζονται οι ονομαστικές σταθερές
Σώμα προγράμματος;Το τμήμα μεταξύ των λέξεων ΑΡΧΗ και ΤΕΛΟΣ_ΠΡΟΓΡΑΜΜΑΤΟΣ
Εντολή εκχώρησης;Η απόδοση της τιμής μιας έκφρασης σε μια μεταβλητή
Σύμβολο εκχώρησης;Το βέλος προς τα αριστερά που χρησιμοποιείται στη ΓΛΩΣΣΑ
Εντολή ΔΙΑΒΑΣΕ;Εντολή εισόδου δεδομένων από την εξωτερική μονάδα εισόδου
Εντολή ΓΡΑΨΕ;Εντολή εξόδου αποτελεσμάτων στην εξωτερική μονάδα εξόδου
Λίστα μεταβλητών;Σειρά ονομάτων που χωρίζονται με κόμμα σε μια εντολή εισόδου
Λίστα αποτελεσμάτων;Σειρά εκφράσεων ή σταθερών σε μια εντολή εξόδου
Σύνθετες εκφράσεις;Εκφράσεις που περιλαμβάνουν πολλούς τελεστές και τελεστέους
Προτεραιότητα πράξεων;Η σειρά με την οποία εκτελούνται οι αριθμητικοί υπολογισμοί
Παρενθέσεις;Χρησιμοποιούνται για την αλλαγή της προκαθορισμένης σειράς των πράξεων
Λογική συνθήκη;Μια έκφραση που καταλήγει σε τιμή Αληθής ή Ψευδής
Απλή συνθήκη;Σύγκριση δύο εκφράσεων με χρήση συγκριτικών τελεστών
Σύνθετη συνθήκη;Συνδυασμός απλών συνθηκών με λογικούς τελεστές
Δομή ΑΝ...ΤΟΤΕ;Η απλούστερη μορφή της δομής επιλογής
Δομή ΑΝ...ΤΟΤΕ...ΑΛΛΙΩΣ;Δομή επιλογής δύο κατευθύνσεων
Δομή ΑΝ...ΤΟΤΕ...ΑΛΛΙΩΣ_ΑΝ;Δομή πολλαπλής επιλογής για πολλές περιπτώσεις
Εμφωλευμένο ΑΝ;Μια δομή ΑΝ που περιέχεται μέσα σε μια άλλη δομή ΑΝ
Σύνταξη εντολής ΓΙΑ;Καθορισμός αρχικής τιμής, τελικής τιμής και βήματος
Προϋπόθεση ΓΙΑ;Ο αριθμός των επαναλήψεων πρέπει να είναι γνωστός εκ των προτέρων
Λειτουργία ΟΣΟ;Η επανάληψη συνεχίζεται όσο η συνθήκη παραμένει αληθής
Λειτουργία ΜΕΧΡΙΣ_ΟΤΟΥ;Η επανάληψη συνεχίζεται μέχρι η συνθήκη να γίνει αληθής
Έλεγχος συνθήκης στην αρχή;Χαρακτηριστικό της δομής "Όσο...επανάλαβε"
Έλεγχος συνθήκης στο τέλος;Χαρακτηριστικό της δομής "Αρχή_επανάληψης...Μέχρις_ότου"
Τμηματικός προγραμματισμός;Η τεχνική σχεδίασης προγραμμάτων ως σύνολο υποπρογραμμάτων
Ιεραρχική σχεδίαση;Η διάσπαση του προγράμματος σε ανώτερα και κατώτερα επίπεδα λειτουργιών
Αυτονομία υποπρογραμμάτων;Η δυνατότητα κάθε τμήματος να αναπτύσσεται ξεχωριστά
Επικοινωνία υποπρογραμμάτων;Η μεταβίβαση τιμών μέσω των παραμέτρων
Τυπικές παράμετροι;Οι μεταβλητές που ορίζονται στη δήλωση του υποπρογράμματος
Πραγματικές παράμετροι;Οι τιμές ή μεταβλητές που χρησιμοποιούνται κατά την κλήση
Αντιστοιχία παραμέτρων;Η συμφωνία στο πλήθος, τον τύπο και τη σειρά των παραμέτρων
Κλήση διαδικασίας;Γίνεται με την εντολή ΚΑΛΕΣΕ ακολουθούμενη από το όνομα
Κλήση συνάρτησης;Γίνεται με τη χρήση του ονόματός της σε μια έκφραση
Δείκτης (Index);Ακέραια τιμή που προσδιορίζει τη θέση στοιχείου στον πίνακα
Μονοδιάστατος πίνακας;Πίνακας που απαιτεί έναν μόνο δείκτη για την προσπέλαση
Πλεονεκτήματα πινάκων;Εύκολη διαχείριση μεγάλου όγκου δεδομένων στη μνήμη
Περιορισμοί πινάκων;Η απαίτηση για συνεχόμενη μνήμη και σταθερό μέγεθος
Δευτερεύουσα μνήμη;Σκληροί δίσκοι, USB sticks και άλλα μέσα αποθήκευσης
Μόνιμη αποθήκευση;Το χαρακτηριστικό των αρχείων να διατηρούνται μετά το κλείσιμο του υπολογιστή
Πηγαίο πρόγραμμα;Ο κώδικας που γράφει ο προγραμματιστής σε μια γλώσσα υψηλού επιπέδου
Αντικείμενο πρόγραμμα;Ο κώδικας σε γλώσσα μηχανής που παράγει ο μεταγλωττιστής
Συντακτικό λάθος;Παράλειψη συμβόλων ή λάθος στη χρήση δεσμευμένων λέξεων
Λογικό λάθος;Λανθασμένη υλοποίηση του αλγορίθμου (π.χ. λάθος τύπος πράξης)
